








0,61
-0,15
0,20
0,34
0,78
0,29
0,34
0,52









0,76
0,61
0,47
0,37
0,51
0,71
0,91
0,69
0,33
0,44
0,69
0,86

0,58
0,59
0,61
0,87
0,49
-0,02
0,25
0,17
0,35
0,75
0,55
0,36

0,59
0,41
0,43
0,21
0,10
-0,21
0,19
0,05
0,21
0,33
0,31
0,48

0,44
0,44
0,37
0,25
0,28
0,28
0,24
0,47
0,18
0,30
0,38
0,74

0,54
0,49
0,48
0,55
0,79
0,74
0,53
0,28
0,26
0,45
0,36
0,28









0,48
0,55
0,20
0,48
0,47
0,36
0,24
0,15
0,24
0,28
0,41
0,37

0,75
0,78
0,52
0,57
0,43
0,00
0,01
0,04
0,45
0,75
0,83
0,63

0,83
0,80
0,79
0,77
0,47
0,15
0,16
0,37
0,53
0,43
0,52
0,50

0,56
0,45
0,21
0,64
0,36
0,08
0,43
0,41
0,57
0,59
0,60
0,79

0,86
0,60
0,47
0,55
0,37
0,26
0,03
0,24
0,35
0,57
0,54
0,92









0,55
0,69
0,92
0,67
0,46
0,40
0,01
0,25
0,57
0,42
0,51
0,78

1,24
1,22
1,32
0,71
0,74
0,79
0,62
0,22
0,54
0,82
1,01
0,96

1,27
0,90
0,43
0,61
0,78
0,35
0,52
0,44
0,08


